ImageID,Label
1001,5
1002,7
1003,7
1004,7
1005,7
1006,5
1007,2
1008,7
1009,7
1010,6
1011,7
1012,2
1013,1
1014,7
1015,7
1016,4
1017,2
1018,6
1019,4
1020,7
1021,6
1022,7
1023,4
1024,7
1025,4
1026,5
1027,7
1028,7
1029,6
1030,7
1031,2
1032,6
1033,4
1034,6
1035,5
1036,1
1037,7
1038,7
1039,1
1040,7
1041,7
1042,7
1043,2
1044,4
1045,7
1046,2
1047,6
1048,5
1049,7
1050,6
1051,6
1052,2
1053,7
1054,7
1055,7
1056,4
1057,7
1058,1
1059,7
1060,4
1061,7
1062,4
1063,4
1064,2
1065,7
1066,7
1067,2
1068,6
1069,1
1070,7
1071,4
1072,4
1073,2
1074,4
1075,7
1076,7
1077,2
1078,6
1079,7
1080,7
1081,5
1082,2
1083,2
1084,4
1085,6
1086,5
1087,6
1088,4
1089,7
1090,7
1091,4
1092,6
1093,6
1094,1
1095,2